Word,Count,Prevalence,FreqZipfUS
a,1,1.917,7.309
aardvark,8,1.684,2.634
aardwolf,8,-0.788,1.292
abaca,5,-0.706,1.593
aback,5,1.077,2.496
abacus,6,1.428,2.406
abaft,5,-0.876,1.769
abalone,7,0.496,2.723
abandon,7,2.427,3.909
abandoned,9,2.576,4.124
abandonee,9,0.409,1.292
abandoner,9,1.081,1.593
abandonment,11,2.185,2.991
abase,5,0.667,1.894
abased,6,0.784,1.292
abasement,9,0.871,1.292
abash,5,1.193,1.292
abashed,7,1.528,1.292
abashedly,9,1.074,1.292
abashment,9,0.81,1.292
abatable,8,0.573,1.292
abate,5,1.427,2.07
abatement,9,1.191,1.894
abattoir,8,0.221,2.195
abbacy,6,-0.879,1.292
abbatial,8,-0.877,1.292
abbe,4,-0.883,1.769
abbess,6,0.06,1.769
abbey,5,1.61,3.504
abbot,5,0.877,2.935
abbotship,9,-0.211,1.292
abbreviate,10,2.174,1.593
abbreviated,11,2.32,2.522
abbreviation,12,2.349,2.406
abbreviator,11,1.305,1.292
abdicable,9,-0.161,1.292
abdicant,8,0.355,1.292
abdicate,8,1.338,2.292
abdication,10,1.263,2.137
abdicative,10,0.392,1.292
abdicator,9,1.254,1.292
abdomen,7,2.576,3.527
abdominal,9,2.248,3.535
abdominally,11,1.814,1.292
abduct,6,2.321,2.86
abductee,8,1.935,2.614
abduction,9,2.435,3.561
abductor,8,1.968,2.571
abeam,5,-0.14,2.195
abecedarian,11,-0.912,1.292
abecedary,9,-0.785,1.292
abed,4,0.426,2.333
abele,5,-1.152,1.593
aberrance,9,0.433,1.292
aberrancy,9,0.113,1.292
aberrant,8,0.784,2.496
aberration,10,1.381,2.754
aberrational,12,0.537,1.292
abet,4,0.635,2.07
abetment,8,-0.116,1.292
abettor,7,0.019,1.593
abeyance,8,0.155,1.769
abeyant,7,-0.25,1.292
abhor,5,1.185,2.406
abhorrence,10,1.537,1.292
abhorrent,9,1.599,2.292
abhorrently,11,1.463,1.292
abhorrer,8,0.5,1.292
abhorring,9,1.185,1.292
abidance,8,0.037,1.292
abide,5,2.191,3.435
abider,6,0.858,1.292
abiding,7,2.068,2.707
abidingly,9,1.128,1.292
abidingness,11,0.198,1.292
ability,7,2.33,4.284
abiogenesis,11,-0.234,1.292
abiogenetically,15,-0.201,1.292
abiotic,7,0.526,1.292
abject,6,1.195,2.614
abjection,9,0.639,1.292
abjectly,8,1.002,1.894
abjectness,10,0.784,1.292
abjudicate,10,0.596,1.292
abjuration,10,0.078,1.292
abjuratory,10,-0.239,1.292
abjure,6,0.153,1.593
abjurer,7,-0.018,1.292
ablate,6,0.124,1.593
ablation,8,0.32,1.593
ablative,8,0.196,1.292
ablator,7,-0.217,1.292
ablaut,6,-1.075,1.292
ablaze,6,2.028,2.634
able,4,2.443,5.203
abler,5,0.391,1.593
ablest,6,-0.222,1.769
abloom,6,0.534,1.894
ablution,8,0.384,1.894
ablutionary,11,0.009,1.292
ably,4,0.966,2.292
abnegate,8,-0.167,1.292
abnegation,10,-0.082,1.292
abnegator,9,-0.38,1.292
abnormal,8,2.442,3.465
abnormality,11,2.433,2.723
abnormally,10,2.241,2.614
abnormity,9,0.554,1.593
aboard,6,2.326,4.425
abode,5,1.921,2.823
abolish,7,2.242,2.69
abolishable,11,1.005,1.292
abolisher,9,1.532,1.292
abolishment,11,1.817,1.292
abolition,9,2,2.333
abolitionary,12,1.041,1.292
abolitionism,12,1.273,1.593
abolitionist,12,1.686,2.371
abominable,10,2.27,2.81
abominableness,14,0.738,1.292
abominably,10,1.706,2.246
abominate,9,1.223,1.894
abomination,11,2.071,3.063
abominator,10,0.605,1.292
aboriginal,10,1.629,2.292
aboriginality,13,0.563,1.292
aboriginals,11,1.444,1.593
aborigine,9,1.114,1.991
abort,5,2.349,3.665
aborted,7,2.426,2.81
abortion,8,2.429,3.86
abortionist,11,1.65,1.991
abortive,8,1.365,1.593
abortively,10,0.792,1.593
abortiveness,12,0.492,1.292
abound,6,1.95,2.571
abounding,9,1.568,1.991
about,5,2.576,6.559
above,5,2.443,4.689
aboveboard,10,0.647,2.468
aboveground,11,1.023,2.195
abovementioned,14,0.619,1.593
abracadabra,11,1.669,3.024
abrade,6,0.131,1.593
abrader,7,-0.392,1.292
abrasion,8,1.679,2.571
abrasive,8,1.963,2.672
abrasively,10,2.062,1.292
abrasiveness,12,2.082,1.769
abreact,7,-1.062,1.292
abreaction,10,-0.833,1.593
abreast,7,1.604,2.723
abridge,7,1.612,1.593
abridged,8,1.876,2.292
abridgement,11,1.42,1.593
abridger,8,0.308,1.292
abridgment,10,1.187,1.292
abroad,6,2.327,3.692
abrogable,9,-0.677,1.292
abrogate,8,0.286,1.593
abrogation,10,0.196,1.292
abrogative,10,-0.028,1.292
abrupt,6,2.338,3.063
abruption,9,0.637,2.137
abruptly,8,2.245,2.955
abruptness,10,2.436,1.991
abscess,7,1.549,2.707
abscessed,9,1.111,1.894
abscise,7,-0.484,1.292
abscissa,8,-0.695,1.292
abscission,10,-0.406,1.292
abscond,7,1.128,2.07
absconded,9,1.327,2.07
absconder,9,1.008,1.593
abseil,6,-0.343,1.292
absence,7,2.253,3.801
absent,6,2.173,3.412
absentee,8,2.141,2.571
absenteeism,11,1.266,2.07
absenter,8,0.08,1.292
absently,8,1.83,1.292
absentminded,12,1.561,1.894
absentmindedly,14,1.868,1.292
absentmindedness,16,1.922,1.593
absentness,10,0.767,1.292
absinthe,8,1.294,2.754
absinthian,10,0.122,1.292
absolute,8,2.261,4.054
absolutely,10,2.335,5.053
absoluteness,12,1.238,1.593
absolution,10,2.013,2.982
absolutism,10,1.51,1.292
absolutist,10,1.569,1.292
absolutistic,12,-0.178,1.292
absolutory,10,0.022,1.292
absolvable,10,1.109,1.292
absolve,7,2.019,2.769
absolvent,9,1.019,1.292
absolver,8,1.311,1.991
absorb,6,2.576,3.3
absorbability,13,1.288,1.292
absorbable,10,1.504,1.292
absorbance,10,1.513,1.292
absorbed,8,2.191,3.189
absorbedly,10,0.735,1.292
absorbedness,12,0.565,1.292
absorbency,10,1.903,1.292
absorbent,9,2.327,2.246
absorber,8,1.519,1.894
absorbing,9,2.43,2.672
absorbingly,11,1.315,1.292
absorption,10,1.985,2.571
absorptive,10,0.555,1.292
absorptiveness,14,0.345,1.292
absorptivity,12,0.355,1.292
abstain,7,1.878,2.723
abstainer,9,1.418,1.292
abstemious,10,0.052,1.292
abstemiously,12,0.003,1.292
abstemiousness,14,-0.175,1.292
abstention,10,1.075,2.137
abstentious,11,0.77,1.292
abstergent,10,-0.627,1.292
abstinence,10,2.025,2.955
abstinent,9,1.554,1.894
abstinently,11,0.818,1.292
abstract,8,2.576,3.341
abstracted,10,1.867,1.894
abstractedly,12,1.109,1.292
abstractedness,14,0.956,1.292
abstracter,10,0.75,1.292
abstraction,11,1.937,2.496
abstractionism,14,0.956,1.292
abstractionist,14,1.23,1.593
abstractive,11,0.704,1.292
abstractly,10,1.994,1.769
abstractness,12,1.372,1.292
abstractor,10,1.036,1.292
abstruse,8,-0.006,1.894
abstrusely,10,0.088,1.292
abstruseness,12,0.167,1.292
absurd,6,2.335,3.987
absurdist,9,1.084,1.593
absurdity,9,2.248,2.81
absurdly,8,1.981,2.496
absurdness,10,1.509,1.292
abundance,9,2.316,2.955
abundant,8,2.185,2.769
abundantly,10,2.097,2.634
abuse,5,2.446,4.011
abuser,6,2.096,2.522
abusive,7,2.257,3.216
abusively,9,1.917,1.292
abusiveness,11,1.679,1.593
abut,4,0.063,2.137
abutilon,8,-1.14,1.292
abutment,8,0.283,2.137
abuttal,7,0.275,1.292
abutter,7,-0.559,1.292
abutting,8,0.556,1.593
abuzz,5,0.821,1.769
abysm,5,-0.107,1.292
abysmal,7,1.667,2.634
abysmally,9,1.294,1.593
abyss,5,2.245,3.251
abyssal,7,0.524,1.593
acacia,6,0.659,2.246
academe,7,0.138,1.769
academia,8,1.879,2.406
academic,8,2.325,3.67
academically,12,2.336,2.371
academicals,11,-0.057,1.292
academician,11,0.394,1.593
academicians,12,0.535,1.292
academicism,11,0.348,1.292
academics,9,2.576,2.848
academism,9,0.355,1.292
academy,7,2.44,4.094
acajou,6,-1.455,1.292
acanthine,9,-0.729,1.292
acanthocephalan,15,-0.722,1.292
acanthodian,11,-1.027,1.292
acanthus,8,-0.336,1.593
acatalectic,11,-0.976,1.292
accede,6,0.588,2.195
accelerando,11,-0.424,1.292
accelerant,10,1.74,2.754
accelerate,10,2.576,3.111
accelerated,11,2.307,2.991
acceleration,12,2.171,2.945
accelerative,12,0.895,1.292
accelerator,11,2.576,3.137
acceleratory,12,0.992,1.292
accelerometer,13,0.971,1.292
accent,6,2.108,4.086
accentor,8,0.192,1.292
accentual,9,0.699,1.292
accentually,11,0.494,1.292
accentuate,10,1.726,2.571
accentuation,12,1.324,1.292
accept,6,2.313,4.722
acceptability,13,2.127,1.292
acceptable,10,2.336,3.723
acceptableness,14,0.9,1.292
acceptably,10,1.835,1.292
acceptance,10,2.117,3.501
acceptant,9,0.963,1.593
acceptation,11,0.11,1.292
accepted,8,2.576,4.196
accepter,8,0.726,1.292
acceptor,8,0.841,1.292
access,6,2.439,4.5
accessary,9,0.606,1.292
accessibility,13,2.234,1.769
accessible,10,2.438,3.048
accessibly,10,1.511,1.292
accession,9,1.188,2.137
accessional,11,0.099,1.292
accessorial,11,0.469,1.292
accessorily,11,-0.078,1.292
accessorize,11,2.169,2.571
accessory,9,2.229,3.462
accidence,9,-0.251,1.292
accident,8,2.444,4.91
accidental,10,2.322,3.479
accidentally,12,2.182,3.945
accidentalness,14,0.017,1.292
accidently,10,1.699,2.371
accipiter,9,-0.931,1.292
acclaim,7,1.973,2.654
acclaimer,9,1.011,1.292
acclamation,11,1.381,1.593
acclamatory,11,0.525,1.292
acclimate,9,1.416,2.246
acclimation,11,1.049,1.292
acclimatization,15,1.176,1.593
acclimatize,11,0.913,1.593
acclivitous,11,-0.987,1.292
acclivity,9,-0.274,1.292
accolade,8,1.565,1.593
accommodate,11,2.232,3.333
accommodating,13,2.237,2.86
accommodatingly,15,1.1,1.292
accommodation,13,2.436,2.982
accommodative,13,1.073,1.593
accommodativeness,17,0.461,1.292
accommodator,12,1.377,1.292
accompanier,11,0.588,1.593
accompaniment,13,1.772,2.496
accompanist,11,1.293,2.333
accompany,9,2.576,3.677
accomplice,10,2.165,3.628
accomplish,10,2.18,3.768
accomplishable,14,1.316,1.292
accomplished,12,2.24,3.877
accomplisher,12,1.172,1.292
accomplishment,14,2.441,3.279
accord,6,2.05,3.216
accordable,10,0.591,1.593
accordance,10,2.113,3.206
accordant,9,1.129,1.292
accordantly,11,0.298,1.292
accorder,8,0.041,1.292
according,9,2.576,4.621
accordingly,11,2.321,3.265
accordion,9,1.893,3.124
accordionist,12,1.224,1.292
accost,6,1.441,1.894
accosted,8,1.571,2.836
accouchement,12,-0.161,1.292
account,7,2.331,4.65
accountability,14,2.175,2.69
accountable,11,2.576,3.155
accountableness,15,0.369,1.292
accountably,11,1.198,1.292
accountancy,11,1.081,1.894
accountant,10,2.339,3.792
accountantship,14,0.441,1.292
accounting,10,2.318,3.655
accouter,8,-0.603,1.292
accouterment,12,0.217,1.292
accoutrement,12,0.744,2.137
accredit,8,1.55,1.292
accreditation,13,1.555,2.292
accredited,10,2.116,2.522
accrete,7,0.141,1.593
accretion,9,0.234,1.292
accretive,9,-0.149,1.292
accrual,7,0.635,1.769
accrue,6,1.259,1.991
accruement,10,1,1.292
acculturate,11,0.21,1.292
acculturation,13,0.282,1.292
accumulate,10,2.32,2.769
accumulation,12,2.576,2.438
accumulative,12,2.245,1.894
accumulatively,14,1.494,1.292
accumulativeness,16,0.718,1.292
accumulator,11,1.785,1.593
accuracy,8,2.328,3.178
accurate,8,2.329,3.895
accurately,10,2.424,3.063
accurateness,12,0.919,1.292
accurse,7,0.539,1.292
accursed,8,1.339,2.823
accursedly,10,0.855,1.292
accursedness,12,0.76,1.292
accusable,9,1.704,1.292
accusation,10,2.135,3.45
accusative,10,1.161,1.292
accusatively,12,0.808,1.292
accusatorial,12,1.188,1.292
accusatorially,14,0.693,1.292
accusatory,10,1.626,1.894
accuse,6,2.085,3.756
accused,7,2.428,4.116
accuser,7,1.937,2.496
accusingly,10,1.971,1.292
accustom,8,1.507,2.137
accustomed,10,2.162,3.468
accustomedness,14,0.198,1.292
ace,3,2.234,4.168
acerb,5,-0.433,1.292
acerbate,8,0.6,1.292
acerbic,7,0.697,1.991
acerbity,8,0.197,1.292
acetabulum,10,-0.46,1.769
acetaldehyde,12,0.11,1.292
acetaminophen,13,0.668,2.07
acetanilide,11,-0.869,1.292
acetate,7,1.342,2.137
